Codigo_Medicamento,Numero_Lote,Cantidad,Costo_Unitario,Precio_Venta,Fecha_Vencimiento,Fecha_Recepcion,Lote_Proveedor,Ubicacion_Fisica,Stock_Minimo
CHU-417,LOTE-CHU-2024-263,1,28.00,35.00,2026-12-31,2024-01-15,,Bodega,2
CHU-418,LOTE-CHU-2024-264,6,20.00,25.00,2027-12-31,2024-01-15,,Bodega,5
CHU-419,LOTE-CHU-2024-265,1,62.40,78.00,2027-12-31,2024-01-15,,Bodega,2
CHU-422,LOTE-CHU-2024-266,13,44.00,55.00,2027-12-31,2024-01-15,,Bodega,10
CHU-423,LOTE-CHU-2024-267,6,36.00,45.00,2027-12-31,2024-01-15,,Bodega,5
CHU-424,LOTE-CHU-2024-268,4,16.00,20.00,2027-12-31,2024-01-15,,Bodega,5
CHU-426,LOTE-CHU-2024-269,8,13.60,17.00,2027-12-31,2024-01-15,,Bodega,5
CHU-427,LOTE-CHU-2024-270,16,10.40,13.00,2027-12-31,2024-01-15,,Bodega,10
CHU-428,LOTE-CHU-2024-271,2,10.40,13.00,2027-12-31,2024-01-15,,Bodega,3
CHU-429,LOTE-CHU-2024-272,33,5.60,7.00,2027-12-31,2024-01-15,,Bodega,10
CHU-436,LOTE-CHU-2024-273,2,72.00,90.00,2026-12-31,2024-01-15,,Farmacia,2
CHU-437,LOTE-CHU-2024-274,2,72.00,90.00,2026-12-31,2024-01-15,,Farmacia,2
CHU-439,LOTE-CHU-2024-275,1,80.00,100.00,2027-12-31,2024-01-15,,Bodega,1
CHU-440,LOTE-CHU-2024-276,3,184.00,230.00,2027-12-31,2024-01-15,,Bodega,2
CHU-446,LOTE-CHU-2024-277,3,64.00,80.00,2027-12-31,2024-01-15,,Bodega,3
CHU-447,LOTE-CHU-2024-278,190,2.40,3.00,2027-12-31,2024-01-15,,Farmacia,30
CHU-448,LOTE-CHU-2024-279,2000,3.20,4.00,2027-12-31,2024-01-15,,Farmacia,200
CHU-449,LOTE-CHU-2024-280,1000,3.52,4.40,2027-12-31,2024-01-15,,Farmacia,100
